Title,Authors,Abstract,URL,Paper ID
The suggestions and directions for future research on excipients-- A summary and review of a paper,Yizhou Wu,"Excipients, traditionally considered ""inert ingredients"" in drugs, often constitute the majority of the mass and play a vital role in pharmaceutical formulations, enabling effective drug delivery and product stability. The research and development process for excipients involves a multidisciplinary approach, encompassing various scientific disciplines and regulatory compliance. However, challenges related to safety assessment, limited understanding of excipient-drug and excipient-biological target interactions, and the absence of standardized characterization methods pose ongoing hurdles in excipient R&D. This paper as a summary and review of the latest research in the field of excipients, opens up a new avenue for researchers to overcome the current challenges. It highlights the growing understanding of potential biological activities of excipients and their clinical importance. The significances and limitations; pros and cons of the technique; future applications and attention regarding the research will be further discussed in this paper. By shedding light on the excipient research and development, this paper provides insights into optimizing drug formulations, enhancing patient safety, and improving therapeutic outcomes.",https://www.semanticscholar.org/paper/037f90f7561a26c1afa7e70ef583bf4ed763775d,037f90f7561a26c1afa7e70ef583bf4ed763775d
A review of recent infrared spectroscopy research for paper,"J. Xia, Y. Xiong, S. Min, Jinyao Li","Abstract For many centuries, paper is the main material for recording cultural achievements all over the world. Infrared (IR) spectroscopy is an essential analytical tool for the structural analysis of paper and pulp chemistry. This review article introduced recent technical and scientific reports in terms of IR spectroscopy in the paper science and application, where interest had increased during the last couple decades (2000–2022). Five parts were described according to the application of IR spectroscopy: the analysis of cellulose and its derivatives, estimation the date of documents, identification the origins of fiber or paper, specification the chemical and physical properties of paper, and characterization the new materials of paper.",https://www.semanticscholar.org/paper/b5ab0a6ea42778ceaac02db07519bfcd9d64744f,b5ab0a6ea42778ceaac02db07519bfcd9d64744f
Ethical Considerations in Research and Review of Paper,G. Nam,,https://www.semanticscholar.org/paper/926cc4cb98c8e10faa38295f6c8b01ec021470c5,926cc4cb98c8e10faa38295f6c8b01ec021470c5
A Review of Recent Near-Infrared Research for Wood and Paper (Part 2),"S. Tsuchikawa, M. Schwanninger","Abstract: This review article introduces recent technical and scientific reports on near-infrared (NIR) spectroscopy in the wood and paper industry, which have increased during the last decade. Many researchers have reported that the NIR technique is useful for detection of both chemical and physical properties of wood materials and has been widely used in cases where the characteristic cellular structure of the material is retained. With regard to application of NIR spectroscopy to pulp and paper, many publications have reported its potential as an on-line measurement technique during paper-making process control. NIR spectroscopy is considered fundamental in applied research on wood and paper. Utilization of NIR spectroscopy in the wood and paper industry should take into account its applicability and limitations as a nondestructive technique.",https://www.semanticscholar.org/paper/6d6986c420376152e5a17a3deb71cb6ccd6a7805,6d6986c420376152e5a17a3deb71cb6ccd6a7805
Container terminal operation and operations research - a classification and literature review,"Dirk Steenken, S. Voß, R. Stahlbock",,https://www.semanticscholar.org/paper/6aad0d153b2f5d2170eab3c5678e907bdcb5ae53,6aad0d153b2f5d2170eab3c5678e907bdcb5ae53
Assortment optimization: a systematic literature review,"Julia Heger, Robert Klein","Assortment optimization is a core topic of demand management that finds application in a broad set of different areas including retail, airline, hotel, and transportation industries as well as in the healthcare sector. Hence, the interest in research on assortment optimization has grown rapidly in recent years. However, the sheer number of publications on the topic of assortment optimization makes it difficult to keep track of all available approaches proposed in the literature. In this paper, we systematically review state-of-the-art studies on assortment optimization. We assemble an extensive literature overview by strategically searching for pre-defined keywords within leading scientific databases. The resulting literature is grouped by a proposed taxonomy that captures properties related to the optimization problem itself, the modelled customer behaviour, and the solution concept applied for solving the problem at hand. For each group, we provide an overview of the corresponding literature and analyse it based on a proposed selection of key factors.",https://www.semanticscholar.org/paper/7dc23be21b80b98d4ea40d61376a5c171213c23a,7dc23be21b80b98d4ea40d61376a5c171213c23a
A Review of Recent Near Infrared Research for Wood and Paper,S. Tsuchikawa,"Abstract This review article introduces recent technical and scientific reports in terms of near infrared (NIR) spectroscopy in the wood and paper science and industry, where interest has increased during the last couple decades. Many researchers reported the NIR technique was useful to detect multi information in both chemical and physical properties of wood materials, although it was widely used in a state where characteristic cellular structure was retained. In the case of application of NIR spectroscopy to pulp and paper, many publications have pointed out its high probability as online measurement techniques during paper‐making process control. Arguments referred to the importance of NIR spectroscopy as fundamental and applied research of wood and paper.",https://www.semanticscholar.org/paper/d20ef482f2d336aa029bbf631c9c13fce774f416,d20ef482f2d336aa029bbf631c9c13fce774f416
Integrated Planning in Hospitals: A Review,"Sebastian Rachuba, Melanie Reuter-Oppermann, Clemens Thielen","Efficient planning of scarce resources in hospitals is a challenging task for which a large variety of Operations Research and Management Science approaches have been developed since the 1950s. While efficient planning of single resources such as operating rooms, beds, or specific types of staff can already lead to enormous efficiency gains, integrated planning of several resources has been shown to hold even greater potential, and a large number of integrated planning approaches have been presented in the literature over the past decades. This paper provides the first literature review that focuses specifically on the Operations Research and Management Science literature related to integrated planning of different resources in hospitals. We collect the relevant literature and analyze it regarding different aspects such as uncertainty modeling and the use of real-life data. Several cross comparisons reveal interesting insights concerning, e.g., relations between the modeling and solution methods used and the practical implementation of the approaches developed. Moreover, we provide a high-level taxonomy for classifying different resource-focused integration approaches and point out gaps in the literature as well as promising directions for future research.",https://www.semanticscholar.org/paper/6a1c2b1be9e8b81f77872d9dc11dc91cf3054320,6a1c2b1be9e8b81f77872d9dc11dc91cf3054320
Longitudinal studies on cohesion in a military context – A systematic review,"Maria Fors Brandebo, M. Börjesson, H. Hilmarsson","ABSTRACT Cohesion is one of the most studied group phenomena and there is an agreement among scholars today that cohesion is a key contributor to team functioning and performance. A large body of research has shown that cohesion has several positive effects on psychological, social, and behavioral outcomes. Since research on cohesion has increased significantly in recent decades there is a need for an updated overview of research regarding antecedents and outcomes of cohesion in a military context. In this paper, a systematic literature review is conducted. The paper adheres to suggestions by scholars, relating the results in accordance with the dimensionality (i.e. social, task, or general) and organizational level of the construct (i.e. horizontal, vertical, or organizational) as well as focusing exclusively on studies with a longitudinal design. The paper highlights gaps in the literature and provides direction for future research.",https://www.semanticscholar.org/paper/011e3b03d05f900ffc35db7eaafa0ff562c2367a,011e3b03d05f900ffc35db7eaafa0ff562c2367a
Simultaneous lotsizing and scheduling problems: a classification and review of models,"Karina Copil, Martin Wörbelauer, H. Meyr, H. Tempelmeier",,https://www.semanticscholar.org/paper/d5bdfd6836c188f6a103326aa955998c5796d10f,d5bdfd6836c188f6a103326aa955998c5796d10f
A review of research into the flow characteristics of paper pulp suspensions,"G. Duffy, A. Titchener, Pfw Lee",,https://www.semanticscholar.org/paper/03dd1ba919a8fca7398bd4f35d616939498f2a02,03dd1ba919a8fca7398bd4f35d616939498f2a02
A Review of Research on the Impacts of Texting on Vocabulary among Second Language Learners,"Or-Kan Soh, Azman Hazita, Izzammuddin Isnin","This paper provides the critical review of the impacts of texting on vocabulary among students from various range of ages, level of studies and background. Emergence of communication through modern modes of communication such as texting has greatly influenced the written communication among students. This impact of texting can also be traced from their academic writings. So far, there is lack of review studies with the focus on the impact of texting on vocabulary. Its consequential impact on the standard language has acquired greater importance. This studies also determine the relationship between the correlation of use of Instant Messaging and Text Messaging and the English grammar, vocabulary and spelling of the students. In total, 50 studies published between 2006 to 2019 and 20 indexed journals were analysed. The main findings from this review provide the impacts of texting on vocabulary among students. Furthermore, the paper discusses trends and the vision towards the future and opportunities for the further research in texting using Instant Messaging and Text Messaging.",https://www.semanticscholar.org/paper/386f07e8a33591764c253b84086ef28777b66baf,386f07e8a33591764c253b84086ef28777b66baf
"The Complexity of Heavy Work Investment (HWI): A Conceptual Integration and Review of Antecedents, Dimensions, and Outcomes","Filiz Tabak, Aharon Tziner, Or Shkoler, Edna Rabenu","The purpose of this paper is to bring conceptual clarity to the heavy work investment (HWI) construct while building a model based on a review of extant empirical and theoretical research and to encourage further discussion and investigations regarding the nature of HWI, specifically its individual level antecedents, dimensions, and outcomes for both the employee and the organization. The proposed theoretical framework builds upon the Job Demands–Resources model and conceptualizes HWI on a continuum of workaholism and work engagement. Specific propositions for the antecedents and outcomes of the HWI continuum are developed. The paper ends with a discussion of future research directions.",https://www.semanticscholar.org/paper/44d98c96661c307e0e4d83031d8c2340a052b337,44d98c96661c307e0e4d83031d8c2340a052b337
"Pollution Control Regulations and Monitoring Technology: a Review of Research and Development from the Pulp and Paper Industry by D.V. Ellis, pp. 673–682",M. Kingsford,,https://www.semanticscholar.org/paper/11a7a93e3a548ffa8f77ed6a6b7b30355693f497,11a7a93e3a548ffa8f77ed6a6b7b30355693f497
POLLUTION CONTROL REGULATIONS AND MONITORING TECHNOLOGY: A REVIEW OF RESEARCH AND DEVELOPMENT FROM THE PULP AND PAPER INDUSTRY,D. Ellis,,https://www.semanticscholar.org/paper/324fdea33f00031c4f5a8afdfa19acc576d9c63c,324fdea33f00031c4f5a8afdfa19acc576d9c63c
"Quality, safety and sustainability in food distribution: a review of quantitative operations management approaches and challenges","R. Akkerman, Poorya Farahani, M. Grunow",,https://www.semanticscholar.org/paper/23d982cca252e6f42ad42088722b5fdf91e3e5b3,23d982cca252e6f42ad42088722b5fdf91e3e5b3
Energy Storage System Analysis Review for Optimal Unit Commitment,"H. Howlader, O. Adewuyi, Yingyi Hong, P. Mandal, Ashraf Mohamed Hemeida, T. Senjyu","Energy storage systems (ESSs) are essential to ensure continuity of energy supply and maintain the reliability of modern power systems. Intermittency and uncertainty of renewable generations due to fluctuating weather conditions as well as uncertain behavior of load demand make ESSs an integral part of power system flexibility management. Typically, the load demand profile can be categorized into peak and off-peak periods, and adding power from renewable generations makes the load-generation dynamics more complicated. Therefore, the thermal generation (TG) units need to be turned on and off more frequently to meet the system load demand. In view of this, several research efforts have been directed towards analyzing the benefits of ESSs in solving optimal unit commitment (UC) problems, minimizing operating costs, and maximizing profits while ensuring supply reliability. In this paper, some recent research works and relevant UC models incorporating ESSs towards solving the abovementioned power system operational issues are reviewed and summarized to give prospective researchers a clear concept and tip-off on finding efficient solutions for future power system flexibility management. Conclusively, an example problem is simulated for the visualization of the formulation of UC problems with ESSs and solutions.",https://www.semanticscholar.org/paper/d0defa0ac15e5de1890dc81d5d389c3c9e4aba2a,d0defa0ac15e5de1890dc81d5d389c3c9e4aba2a
Risk culture and employee performance for optimal organizational success: the mediating role of employee satisfaction and employee engagement,"Abdur Rahim, Md Harun Or Rosid, Najmul Hasan","
Purpose
This paper aims to investigate the impact of risk culture on employee performance by exploring the mediating roles of employee satisfaction and employee engagement in the relationship between risk culture and employee performance.


Design/methodology/approach
The study employed partial least squares-based structural equation modeling (PLS-SEM) to assess both the direct effects and mediation effects, using a sample of 311 employees from the banking and insurance sectors. In contrast to PLS-SEM, a fuzzy set qualitative comparative analysis (fsQCA) technique was also applied to discern the causal configurations that lead to improved employee performance.


Findings
The findings revealed a significant direct effect of risk culture on employee performance, employee satisfaction and employee engagement. The findings also revealed that employee satisfaction significantly mediated the relationship between risk culture and employee performance, whereas the mediating role of employee engagement is partially significant. The fsQCA findings illustrated that a diverse combination of risk culture dimensions, employee satisfaction and employee engagement can result in enhanced employee performance.


Practical implications
This study provides important implications for the banking and insurance industries, suggesting that organizations should prioritize the development of a strong risk culture to improve employee-related outcomes such as performance, satisfaction and engagement, which are key factors for achieving optimal organizational success.


Originality/value
The paper specifically highlights the importance of integrating risk culture into human resource management, providing valuable insights for organizations seeking to enhance their risk management practices and culture.
",https://www.semanticscholar.org/paper/a21e64f214662842fcf443482ee1716d7f367046,a21e64f214662842fcf443482ee1716d7f367046
A survey and annotated bibliography of multiobjective combinatorial optimization,"M. Ehrgott, X. Gandibleux",,https://www.semanticscholar.org/paper/0f0584be04bfe8f619ebfa2e8e5e3f6293decbbd,0f0584be04bfe8f619ebfa2e8e5e3f6293decbbd
Digital Health and Self-Management in Idiopathic Inflammatory Myopathies: A Missed Opportunity?,"S. Battista, Benedetto Giardulli, C. Sieiro Santos, O. Aharonov, Darshan Puttaswamy, Anne-Marie Russell, Latika Gupta","Purpose of Review This paper explored the potential of digital health in idiopathic inflammatory myopathies (IIMs), with a focus on self-management. Digital self-management technology includes tailored treatment plans, symptom tracking, educational resources, enhanced communication, and support for long-term planning. Recent Findings After arguing the importance of digital health in IIMs management, from diagnosis until treatment, our literature review revealed a notable gap in research focusing on the efficacy of digital self-management interventions for individuals with IIMs, with no randomised controlled trials or observational studies addressing this topic. Summary Our review further highlighted the significant unmet need for research in self-management interventions for individuals with IIMs. The absence of studies underscores the necessity for collaborative efforts to address this gap and develop personalised, effective strategies for managing IIMs using digital technology. Individuals with IIMs deserve tailored self-management approaches akin to those available for other rheumatic and musculoskeletal diseases. Supplementary Information The online version contains supplementary material available at 10.1007/s11926-024-01157-6.",https://www.semanticscholar.org/paper/b6db3f2cf6ff2977bac7a8343394ecc83273be59,b6db3f2cf6ff2977bac7a8343394ecc83273be59
A Systematic Review on Bilingualism and Language Processing from 2015-2019,"Or-Kan Soh, H. Azman, S. Ho","Over the past few decades, research on bilingualism has been extensively covered but still leaves room for much to be discovered especially in the context of language processing. There is a lack in systematic review on studies that examine the trends, effects, methodological approaches, challenges and limitations on bilingualism in relation to language processing. Therefore, this article aims to offer current understanding on bilingualism and language processing through a process of a critical analysis and synthesis. A total of 20 articles published from 2015-2019 in peer-reviewed journals both abroad and locally were selected to be included in this review for content analysis. Hence, this paper attempts to give a systematic report on the findings categorized by trends, effects, methodological approaches, challenges and limitations. Few main findings emerged: (a) An increasing trend in the study on internal language processing and individual factors affecting bilingualism; (b) The existence of inconsistent effects; (c) The need to re-evaluate methodological approaches; and (d) The lack of research conducted in Malaysia. This review also provides suggestions and opportunities for future research in bilingualism and language processing. Keywords: systematic review; bilingualism; language processing; qualitative method; challenges",https://www.semanticscholar.org/paper/b24ba8fbacfba74ddf3cf4bad798b6d16d62c722,b24ba8fbacfba74ddf3cf4bad798b6d16d62c722
Dynamic capacitated lot-sizing problems: a classification and review of solution approaches,"Lisbeth Buschkühl, F. Sahling, S. Helber, H. Tempelmeier",,https://www.semanticscholar.org/paper/3ddaf83d1a9f5b2ca668eabba36cefb2a1ff9952,3ddaf83d1a9f5b2ca668eabba36cefb2a1ff9952
Analyzing Stimuli Presentations and Exit-Interview Protocols to Improve Wearable Eye-Tracking Data Collection Guidelines for Reading Research,"H. Azman, Warid Mihat, Or-Kan Soh","Setting up an eye tracking experiment involves multitier processes that cover important issues such as developing the data collection guidelines, establishing data analysis protocols, and giving meaning to data. Although eye tracking handbooks have established imperative discussion on how the data should be analysed and written, there is still a dearth in the literature on data collection guidelines caused by the variety of features in different kinds of eye trackers. In this study, the researchers review the use of a wearable eye tracking apparatus with authentic materials and interview protocols. Exemplified through a preliminary study conducted on Year Six students in a primary school that investigates the internal processes of reading ESL texts, the significance and implications of using a wearable eye-tracking apparatus with a single point calibration are reported to improve the data collection guidelines. Relatedly, considerations for research procedures and instrument designs are also made in this paper.",https://www.semanticscholar.org/paper/64f2b938f5dadedb4594ce52ba8e3b7f8a4e2aaa,64f2b938f5dadedb4594ce52ba8e3b7f8a4e2aaa
Line planning in public transportation: models and methods,A. Schöbel,"The problem of defining suitable lines in a public transportation system (bus, railway, tram, or underground) is an important real-world problem that has also been well researched in theory. Driven by applications, it often lacks a clear description, but is rather stated in an informal way. This leads to a variety of different published line planning models. In this paper, we introduce some of the basic line planning models, identify their characteristics, and review literature on models, mathematical approaches, and algorithms for line planning. Moreover, we point out related topics as well as current and future directions of research.",https://www.semanticscholar.org/paper/855f7b3d3b79952ca634e36d9e44de7497b17683,855f7b3d3b79952ca634e36d9e44de7497b17683
Statistical Inference With Limited Memory: A Survey,"Tomer Berg, O. Ordentlich, O. Shayevitz","The problem of statistical inference in its various forms has been the subject of decades-long extensive research. Most of the effort has been focused on characterizing the behavior as a function of the number of available samples, with far less attention given to the effect of memory limitations on performance. Recently, this latter topic has drawn much interest in the engineering and computer science literature. In this survey paper, we attempt to review the state-of-the-art of statistical inference under memory constraints in several canonical problems, including hypothesis testing, parameter estimation, and distribution property testing/estimation. We discuss the main results in this developing field, and by identifying recurrent themes, we extract some fundamental building blocks for algorithmic construction, as well as useful techniques for lower bound derivations.",https://www.semanticscholar.org/paper/f56a32740482740c759ad8f6fc193477de0977eb,f56a32740482740c759ad8f6fc193477de0977eb
