Title,Authors,CleanedTitle,CleanedAuthors,Content,Topic,TopicName
Estimating psychological networks and their accuracy: A tutorial paper,"S Epskamp, D Borsboom, EI Fried",estimating psychological network accuracy tutorial paper,"S Epskamp, D Borsboom, EI Fried",estimating psychological network accuracy tutorial paper,0,0_research_review_agenda_education
Review of particle physics,"K Hagiwara, K Hikasa, K Nakamura…",review particle physic,"K Hagiwara, K Hikasa, K Nakamura…",review particle physic,1,1_paper_physic_particle_review
Applications of structural equation modeling in marketing and consumer research : A review,"H Baumgartner, C Homburg",application structural equation modeling marketing consumer research review,"H Baumgartner, C Homburg",application structural equation modeling marketing consumer research review,0,0_research_review_agenda_education
The statistical power of abnormal-social psychological research : a review .,J Cohen,statistical power abnormal-social psychological research review,J Cohen,statistical power abnormal-social psychological research review,0,0_research_review_agenda_education
Practical research,"PD Leedy, JE Ormrod",practical research,"PD Leedy, JE Ormrod",practical research,0,0_research_review_agenda_education
Review of research : How leadership influences student learning,"KA Leithwood, KS Louis, S Anderson, K Wahlstrom",review research leadership influence student learning,"KA Leithwood, KS Louis, S Anderson, K Wahlstrom",review research leadership influence student learning,0,0_research_review_agenda_education
Job attitudes; review of research and opinion.,"F Herzberg, B Mausnes, RO Peterson, DF Capwell",job attitude review research opinion,"F Herzberg, B Mausnes, RO Peterson, DF Capwell",job attitude review research opinion,0,0_research_review_agenda_education
Literature review of Industry 4.0 and related technologies,"E Oztemel, S Gursev",literature review industry 4.0 related technology,"E Oztemel, S Gursev",literature review industry 4.0 related technology,0,0_research_review_agenda_education
A manual of paper chromatography and paper electrophoresis,"RJ Block, EL Durrum, G Zweig",manual paper chromatography paper electrophoresis,"RJ Block, EL Durrum, G Zweig",manual paper chromatography paper electrophoresis,1,1_paper_physic_particle_review
Instrument review : Getting the most from a panel of experts,LL Davis,instrument review getting panel expert,LL Davis,instrument review getting panel expert,0,0_research_review_agenda_education
Resilience in business and management research : A review of influential publications and a research agenda,MK Linnenluecke,resilience business management research review influential publication research agenda,MK Linnenluecke,resilience business management research review influential publication research agenda,0,0_research_review_agenda_education
Human resource management and performance: a review and research agenda,DE Guest,human resource management performance review research agenda,DE Guest,human resource management performance review research agenda,0,0_research_review_agenda_education
Detection of sugars on paper chromatograms,"WE TREVELYAN, DP Procter, JS Harrison",detection sugar paper chromatogram,"WE TREVELYAN, DP Procter, JS Harrison",detection sugar paper chromatogram,1,1_paper_physic_particle_review
Review of particle physics,"RM Barnett, CD Carone, DE Groom, TG Trippe…",review particle physic,"RM Barnett, CD Carone, DE Groom, TG Trippe…",review particle physic,1,1_paper_physic_particle_review
Nutrient requirements of swine,"National Research Council, Division on Earth…",nutrient requirement swine,"National Research Council, Division on Earth…",nutrient requirement swine,1,1_paper_physic_particle_review
Methodological challenges in qualitative content analysis: A discussion paper,"UH Graneheim, BM Lindgren, B Lundman",methodological challenge qualitative content analysis discussion paper,"UH Graneheim, BM Lindgren, B Lundman",methodological challenge qualitative content analysis discussion paper,0,0_research_review_agenda_education
