CleanedTitle,TopicName
suggestion direction future research excipients -- summary review paper,0_health_patient_review_study
review recent infrared spectroscopy research paper,2_soil_microbial_paper_habitat
ethical consideration research review paper,-1_research_study_paper_analysis
review recent near-infrared research wood paper part 2,2_soil_microbial_paper_habitat
container terminal operation operation research classification literature review,3_power_system_planning_voltage
assortment optimization systematic literature review,3_power_system_planning_voltage
review recent near infrared research wood paper,2_soil_microbial_paper_habitat
integrated planning hospital review,3_power_system_planning_voltage
longitudinal study cohesion military context – systematic review,5_employee_work_organizational_organization
simultaneous lotsizing scheduling problem classification review model,3_power_system_planning_voltage
review research flow characteristic paper pulp suspension,2_soil_microbial_paper_habitat
review research impact texting vocabulary among second language learner,4_student_learning_language_course
complexity heavy work investment hwi conceptual integration review antecedent dimension outcome,5_employee_work_organizational_organization
pollution control regulation monitoring technology review research development pulp paper industry d.v elli pp 673–682,2_soil_microbial_paper_habitat
pollution control regulation monitoring technology review research development pulp paper industry,2_soil_microbial_paper_habitat
quality safety sustainability food distribution review quantitative operation management approach challenge,3_power_system_planning_voltage
energy storage system analysis review optimal unit commitment,3_power_system_planning_voltage
risk culture employee performance optimal organizational success mediating role employee satisfaction employee engagement,5_employee_work_organizational_organization
survey annotated bibliography multiobjective combinatorial optimization,3_power_system_planning_voltage
digital health self-management idiopathic inflammatory myopathy missed opportunity,0_health_patient_review_study
systematic review bilingualism language processing 2015-2019,4_student_learning_language_course
dynamic capacitated lot-sizing problem classification review solution approach,3_power_system_planning_voltage
analyzing stimulus presentation exit-interview protocol improve wearable eye-tracking data collection guideline reading research,4_student_learning_language_course
line planning public transportation model method,3_power_system_planning_voltage
statistical inference limited memory survey,-1_research_study_paper_analysis
management ludwig 's angina pregnancy review 10 case,-1_research_study_paper_analysis
woman missing outpatient cardiac rehabilitation program review multilevel factor affecting referral enrollment completion,0_health_patient_review_study
review comparison hybrid pull-type production control strategy,3_power_system_planning_voltage
development uiuc aero testbed large-scale unmanned electric aerobatic aircraft aerodynamics research,6_aircraft_unmanned_flight_data
assessment relationship among regional economic development policy urban development policy public policy,-1_research_study_paper_analysis
citespace knowledge gap analysis asia duty free tourism purchasing behavior,-1_research_study_paper_analysis
cardioinformatics nexus bioinformatics precision cardiology,1_clinical_treatment_disease_patient
absolute relative need know moisture level historic building conservation,-1_research_study_paper_analysis
high angle attack flight subscale aerobatic aircraft,6_aircraft_unmanned_flight_data
concept industrial enterprise ’ economic development amid global financial economic crisis,-1_research_study_paper_analysis
climate change health israel adaptation policy extreme weather event,-1_research_study_paper_analysis
approach periodic inventory control random production yield fixed setup cost,3_power_system_planning_voltage
use impact hinari observation bangladesh special reference icddr b,0_health_patient_review_study
understanding psychological well-being behavioral perspective,5_employee_work_organizational_organization
morphology tailoring nano/micro-structured conductive polymer composite application chemical sensor,-1_research_study_paper_analysis
line planning public transportation model method,3_power_system_planning_voltage
paper-mill waste bioethanol production relation circular economy concept review,2_soil_microbial_paper_habitat
deep learning accelerated robust mri reconstruction review,1_clinical_treatment_disease_patient
`` still work '' design effect intervention used modify feeding problem child autism systematic review study employing group design,0_health_patient_review_study
text mining topic analysis ostrich ’ welfare based systematic literature review 1983 2023,-1_research_study_paper_analysis
canine bacterial endocarditis text mining topic modeling analysis approach systematic review,-1_research_study_paper_analysis
near-infrared imaging retinal diagnostic applications-a review,-1_research_study_paper_analysis
review paper effect different type filler material marshall characteristic bitumen hot mix,2_soil_microbial_paper_habitat
meaningful change treatment responsivity intervention research targeted review study published journal pediatric psychology,0_health_patient_review_study
lab-on-a-chip electrochemical biosensors foodborne pathogen detection review common standard recent progress,-1_research_study_paper_analysis
urban energy transition systematic review,-1_research_study_paper_analysis
impact national dementia research consortium canadian consortium neurodegeneration aging ccna,1_clinical_treatment_disease_patient
cutting-edge strategy scaling pain orthopaedic surgery comprehensive review,0_health_patient_review_study
systematic literature review factor influencing marital readiness,0_health_patient_review_study
effect zataria multiflora respiratory symptom pulmonary function oxidative stress parameter systematic review meta-analysis,-1_research_study_paper_analysis
effectiveness using virtual reality–supported exercise therapy upper extremity motor rehabilitation patient stroke systematic review meta-analysis randomized controlled trial,0_health_patient_review_study
association parenting quality offspring 's biological aging evaluated telomere length systematic review meta-analysis,0_health_patient_review_study
review sedimentary basin evolution cambodia based tectonic setting logical information,2_soil_microbial_paper_habitat
effect plum product consumption lipid profile adult systematic review dose–response meta‐analysis,-1_research_study_paper_analysis
ocular gene therapy literature review special focus immune inflammatory response,1_clinical_treatment_disease_patient
review research effect music upon second language acquisition,4_student_learning_language_course
systematic literature network analysis development manufacturing enhancement sustainability fiber-reinforced polymer composite 1998–2020 future research agenda,-1_research_study_paper_analysis
negative experience patient using medicinal cannabis systematic review qualitative study,0_health_patient_review_study
feline cognitive dysfunction model alzheimer ’ disease research cbd potential treatment—a narrative review,1_clinical_treatment_disease_patient
research progress recombinant novel coronavirus protein vaccine,1_clinical_treatment_disease_patient
review research relationship reading fluency eye movement among student,4_student_learning_language_course
review paper systematic review patient acceptance consumer health information technology,0_health_patient_review_study
trustworthiness generative foundation model guideline assessment perspective,-1_research_study_paper_analysis
systematic review personal finance training physician proposed curriculum,0_health_patient_review_study
deep learning accelerated robust mri reconstruction,1_clinical_treatment_disease_patient
early attachment network multiple caregiver history assessment model future research recommendation,0_health_patient_review_study
nonstandard error,0_health_patient_review_study
open studio approach art therapy systematic scoping review,0_health_patient_review_study
use octa fa ultra‐widefield imaging quantifying retinal ischemia review,1_clinical_treatment_disease_patient
'bad 'good go multi-lab direct replication report casasanto 2009 experiment 1,5_employee_work_organizational_organization
perspective south east asia clinical research ethic literature review,0_health_patient_review_study
submit-to-accept time accounting determinant comparison business discipline,5_employee_work_organizational_organization
binaural sound source localization using hybrid time frequency domain model,7_motion_de_object_camera
tiled diffusion,7_motion_de_object_camera
seawater physic chemistry along med-ship transects mediterranean sea 2016,-1_research_study_paper_analysis
pulmonary hypertension hyperglycemia—not sweet combination,-1_research_study_paper_analysis
management labor anesthesia patient ehlers-danlos syndrome chatgpt err source referencing,0_health_patient_review_study
effect technology-supported exercise program knee pain physical function quality life individual knee osteoarthritis and/or chronic knee pain systematic review meta-analysis randomized controlled trial,0_health_patient_review_study
pdbs go numeric pattern-database heuristic simple numeric planning,3_power_system_planning_voltage
genetic-based diagnostics parkinson 's disease parkinsonian syndrome,1_clinical_treatment_disease_patient
feasibility imagls-bsm ild informed binaural signal matching arbitrary microphone array,-1_research_study_paper_analysis
